,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
518,X Vitrine  Original Appl Exposição 12X  S/,Nokia,Exposição,[],['256gb'],['1'],3.840
519,Iphone 7  Original Entrega Já -,Nokia,Entrega,[],['128 Gb'],['1'],1.895
520,Redmi 9  Dual Sim 4Gb Ram Tela 6.,Nokia,4Gb,['4gb Ram'],['128gb'],['2'],1.299
521,G9 Plus Dual Sim,Nokia,Azul-Índigo,['4 Gb Ram'],['128 Gb'],['2'],2.089
522,Iphone 6S  Vitrine 12X + Brinde Envio,Nokia,+,[],['32gb'],['1'],1.248
523,K40   Aurora,Nokia,Black,['2 GB RAM'],['32 GB'],['1'],811
524,A8  32 Mb  Preto/,Nokia,Preto/Azul,['32 MB RAM'],['32 MB'],['2'],123
525,Galaxy A01  5.7 Octa-Core 2.0 Ghz 13Mp -,Nokia,Ghz,[],['32gb'],['1'],853
526,Mi 10,Nokia,Verde-Coral,['8 GB RAM'],['128 GB'],['1'],5.049
527,3 Gold Obabox Smartphone Para A Terceira,Nokia,Para,[],[],['1'],997
528,"Samsung Galaxy S21  5G Tela 6,2   8Gb",Samsung,"6,2",['8gb Ram'],['128gb'],['1'],5.999
529,Mi 10 Lite Dual Sim  Gris,Samsung,Cósmico,['6 Gb Ram'],['64 Gb'],['2'],2.444
530,Xs Max,Samsung,Max,[],['256 GB'],['1'],6.498
531,"Lg K62 Azul, Tela De 6,59 , 4G,  -",Lg,"4G,",[],['64gb'],['1'],1.295
532,Xiaomi Redmi 8A Azul-Oceano Dual Sim  3Gb,Xiaomi,Sim,['3gb Ram'],['64gb'],['2'],995
533,Motorola Moto E6S  Tela De 6.1  4G Câm. 13Mp+,Motorola,6.1,[],['32gb'],['1'],789
534,Galaxy A12 Dual 6.5  4Gb Ram Garantia De 1,Motorola,Garantia,['4gb Ram'],['64gb'],['1'],1.218
535,Motorola Moto G8 Power Android Tela 6.4,Motorola,Tela,[],['64gb'],['1'],1.699
536,Lg K22  13Mp Tela 6.2 Pol Titânio,Lg,6.2,[],['32gb'],['1'],899
537,Se (2Nd Generation),Lg,Generation),[],['64 GB'],['1'],3.400
538,Samsung Galaxy S10+ Tela 6.4  8Gb,Samsung,6.4,['8gb Ram'],['128gb'],['1'],4.499
539,K8 Plus    Fine,Samsung,Gold,['3 GB RAM'],['32 GB'],['2'],749
540,Celular Multilaser Zapp 3G Dual Chip Idoso,Samsung,Dual,[],[],['1'],249
541,Twist Mini S430,Samsung,Cinza,['512 MB RAM'],['8 GB'],['2'],476
542,Multilaser Vita Idoso Dual Chip Bluetooth Com,Multilaser,Chip,[],[],['1'],169
543,K10 Power Tv,Multilaser,Índigo,['2 GB RAM'],['32 GB'],['2'],1.399
544,Poco X3 Nfc Dual Sim   + Nota,Multilaser,Ram,['6 Gb Ram'],['64 Gb'],['2'],1.667
545,Motorola Xt1683 Moto G5 Plus,Motorola,Moto,[],['32gb'],['1'],829
546,G4,Motorola,Dourado-Brilhante,['3 GB RAM'],['32 GB'],['1'],975
547,Moto G5S /2 Ram |,Motorola,32Gb/2,[],['32gb'],['1'],829
548,Asus Zenfone Max Pro M2 Dual  6Gb Ram,Asus,64Gb,['6gb Ram'],['64gb'],['1'],1.249
549,Lg K52  Dual Chip Octa Core,Lg,Chip,[],['64gb'],['1'],1.199
550,Motorola Moto E7 Plus Bronze Ambar  Cam 48Mp,Motorola,64Gb,[],['64gb'],['1'],1.179
551,11 Pro,Motorola,Pro,[],['64 GB'],['1'],7.317
552,Note 9 Pro  6Ram Global+Capa+Pelicula Nfe Hj,Motorola,Global+Capa+Pelicula,[],['128gb'],['1'],2.175
553,"Galaxy S20+ Preto 6,7  4G  -",Motorola,4G,[],['128gb'],['1'],3.775
554,Galaxy Note20    Bronze,Motorola,Místico,['8 GB RAM'],['256 GB'],['2'],4.399
555,Galaxy S10E    Prism,Motorola,Blue,['6 GB RAM'],['128 GB'],['2'],2.599
556,Twist 3 S513,Motorola,Vermelho,['1 GB RAM'],['32 GB'],['2'],506
557,Flip Up  32 Mb,Motorola,Preto,['32 MB RAM'],['32 MB'],['2'],155
558,Galaxy S20 Fe    Cloud,Motorola,Navy,['8 GB RAM'],['256 GB'],['2'],3.450
559,Asus Zb634Kl Zenfone Max Shot Plus  (+),Asus,Shot,[],"['128gb', '64gb', '64gb']",['1'],999
560,E6S (2020),Asus,Vermelho-Magenta,['2 GB RAM'],['32 GB'],['2'],819
561,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
562,3 Obabox O Novo Smartphone Para A 3º Idade,Samsung,A,[],[],['1'],997
563,Redmi 9C   Twilight,Samsung,Blue,['3 GB RAM'],['64 GB'],['2'],1.063
564,Samsung Galaxy A31 A315 Dual  4Gb Ram,Samsung,128Gb,['4gb Ram'],['128gb'],['1'],1.549
565,"Lg K22 Plus Tela 6,2  3Gb Ram Quad-Core",Lg,3Gb,['3gb Ram'],['64gb'],['1'],1.099
566,Samsung Galaxy M21S Tela 6.4  4Gb Ram -,Samsung,4Gb,['4gb Ram'],['64gb'],['1'],1.499
567,"Lg K22 Tela 6,2  2Gb Ram Android",Lg,2Gb,['2gb Ram'],['32gb'],['1'],741
568,F,Lg,Café,['1 GB RAM'],['32 GB'],['2'],499
569,Vita  32 Mb,Lg,Preto,['24 MB RAM'],['32 MB'],['2'],106
570,"Lg K52 4G Tela 6,59  3Gb Ram",Lg,Gb,['3gb Ram'],['64 Gb'],['1'],1.199
571,Galaxy A01 Core,Lg,Preto,['1 GB RAM'],['16 GB'],['2'],639
572,Idosos Internet E Whatsapp Oba Smart 3 Gold,Idosos,Smart,[],[],['1'],997
573,Nokia 110 Preto Rádio Fm E Leitor Mp3 -,Nokia,Leitor,[],[],['1'],151
574,Redmi Note 9 Pro (64 Mpx),Nokia,Verde-Tropical,['6 GB RAM'],['128 GB'],['2'],1.999
575,B220  32 Mb,Nokia,Preto,['32 MB RAM'],['32 MB'],['2'],117
576,G8 Power,Nokia,Preto-Titanium,['4 GB RAM'],['64 GB'],['2'],1.419
577,Galaxy A71,Nokia,Azul,['6 GB RAM'],['128 GB'],['2'],2.099
578,Samsung Galaxy M31 Tela 6.4  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],1.799
579,One Fusion    Deep Sapphire,Samsung,Blue,['4 GB RAM'],['128 GB'],['2'],1.439
580,Samsung Galaxy A10S Tela De 6.2  2Gb,Samsung,6.2,['2gb Ram'],['32gb'],['1'],843
581,Samsung Galaxy A01 Tela 5.7  2Gb Ram,Samsung,32Gb,['2gb Ram'],['32gb'],['1'],735
582,Redmi 8A,Samsung,Azul-Oceano,['2 GB RAM'],['32 GB'],['2'],844
583,Flip  Idosos 2 Chips Radio Fm Camera,Flip,Radio,[],[],['1'],118
584,"Samsung Galaxy S21  5G Tela 6,2   8Gb",Samsung,"6,2",['8gb Ram'],['128gb'],['1'],5.999
585,"Lg K41S 4G Tela 6,55  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['32gb'],['1'],883
586,"Lg K51S 4G Tela 6,55  3Gb Ram Android",Lg,3Gb,['3gb Ram'],['64gb'],['1'],1.090
587,Redmi 8A,Lg,Azul-Oceano,['4 GB RAM'],['64 GB'],['2'],996
588,Galaxy S20+    Cloud,Lg,Blue,['8 GB RAM'],['128 GB'],['2'],3.789
589,11,Lg,11,[],['128 GB'],['1'],5.506
590,7   (Product),Lg,7,[],['128 GB'],['1'],2.300
591,Galaxy A51    Prism Crush,Lg,Blue,['4 GB RAM'],['128 GB'],['2'],1.799
592,G9 Play,Lg,Verde-Turquesa,['4 GB RAM'],['64 GB'],['2'],1.873
593,Redmi Note 9 Pro (48 Mpx)    Interstellar,Lg,Black,['4 GB RAM'],['128 GB'],['2'],1.657
594,Redmi 8,Lg,Preto-Ônix,['4 GB RAM'],['64 GB'],['2'],1.057
595,Galaxy A11,Lg,Azul,['3 GB RAM'],['64 GB'],['2'],1.399
596,Mi 10 Lite   Cosmic,Lg,Gray,['6 GB RAM'],['128 GB'],['2'],2.665
597,E7 Plus    Bronze,Lg,Âmbar,['4 GB RAM'],['64 GB'],['2'],1.078
598,G8 Power Lite,Lg,Aqua,['4 GB RAM'],['64 GB'],['2'],1.199
599,12 Pro Max,Lg,Max,[],['128 GB'],['1'],9.190
600,E6S (2020),Lg,Azul-Navy,['4 GB RAM'],['64 GB'],['2'],1.393
601,11,Lg,11,[],['256 GB'],['1'],6.371
602,Galaxy A71   Prism Crush,Lg,Black,['6 GB RAM'],['128 GB'],['1'],2.590
603,Mi A1 Special Edition Red,Lg,Vermelho,['4 GB RAM'],['64 GB'],['2'],1.129
604,One Hyper    Deepsea,Lg,Blue,['4 GB RAM'],['128 GB'],['2'],1.920
605,6S,Lg,6S,[],['64 GB'],['1'],1.750
606,"Nokia C2 Nk010  ( +  Cartão) Tela 5,7",Nokia,16Gb,[],"['32gb', '16gb', '16gb']",['1'],599
607,Samsung A21S Dual 6.5  Octa Core  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.469
608,Note 9S  6Ram Original Global Capa+Lacrado +,Samsung,Original,[],['128gb'],['1'],1.839
