,Celular,Marca,cor,Ram,Hd,num_ship,Valor_real
128,Note 9S  6Ram Original Global Capa+Lacrado +,Samsung,Original,[],['128gb'],['1'],1.839
129,Poco X3 Nfc Dual Sim  Cobalt,Samsung,Blue,['6 Gb Ram'],['128 Gb'],['2'],2.022
130,Moto G8 Power Lite  Câmera Tripl Tela 6.5,Moto,Tripl,[],['64gb'],['1'],1.170
131,Xiaomi Redmi Note 8  4Gb,Moto,8,['4gb Ram'],['64gb'],['1'],1.299
132,Samsung Galaxy A10S Dual 6.2  4G  A107,Samsung,4G,[],['32gb'],['1'],999
133,Poco X3 Nfc Dual Sim  Shadow,Samsung,Gray,['6 Gb Ram'],['64 Gb'],['2'],1.678
134,Samsung Galaxy A10S Tela De 6.2  2Gb,Samsung,6.2,['2gb Ram'],['32gb'],['1'],837
135,Do Idoso Dual Chip Whatsapp Facebook Teclas,Do,Whatsapp,[],[],['1'],279
136,Obasmart3 Dourado Obabox + Fone + Película +,Do,+,[],['32gb'],['1'],997
137,Redmi 9  4Ram Global Nfe+Capa+Pelicula Envio,Do,Global,[],['64gb'],['1'],1.255
138,"11 Preto, Com Tela De 6,1 , 4G,  - Mhdh3Br/A",Do,128,[],['128 Gb'],['1'],5.506
139,Samsung Galaxy S10 Tela De 6.1  8Gb Ram,Samsung,128Gb,['8gb Ram'],['128gb'],['1'],2.799
140,Xiaomi Redmi Note 9 Pro  6Gb,Xiaomi,Pro,['6gb Ram'],['128gb'],['1'],1.994
141,Xiaomi Note 8  4Gb Versão Global+Capa+,Xiaomi,64Gb,[],['64gb'],['1'],1.419
142,Samsung Galaxy A21S Tela 6.5  4Gb Ram,Samsung,64Gb,['4gb Ram'],['64gb'],['1'],1.899
143,Samsung Galaxy A71 A715 Dual  6Gb Ram,Samsung,128Gb,['6gb Ram'],['128gb'],['1'],2.098
144,Samsung Galaxy A01  2Gb Ram Tela 5.7,Samsung,Ram,['2gb Ram'],['32gb'],['1'],729
145,Redmi Note 8 Dual Sim  Neptune,Samsung,Blue,['4 Gb Ram'],['64 Gb'],['2'],1.386
146,Xiaomi Redmi Note 8  4Gb Ram Versão,Xiaomi,4Gb,['4gb Ram'],['64gb'],['1'],1.315
147,Samsung Galaxy S10 Tela De 6.1  8Gb,Samsung,6.1,['8gb Ram'],['128gb'],['1'],2.799
148,Celular Multilaser Zapp 3G Dual Chip Idoso,Samsung,Dual,[],[],['1'],235
149,Multilaser Dois Chip   Oba Fone,Samsung,Ram,['1 Gb Ram'],['32 Gb'],['1'],849
150,Lg K41S Dual Sim  Titânio Octa,Lg,Gb,[],['32 Gb'],['2'],929
